"Zawodnik2","Zabojstwa","Smierci","Asysty","Kda","Zloto","Dmg","CS"
"Abbedagge",1.83,2.83,3.83,2,11600,14200,262.67
"Closer",2,2,3.83,2.92,9300,5500,152.17
"FBI",2.17,3.17,4.17,2,10900,12600,198.17
"huhi",0.67,3,5.33,2,8000,5000,88.67
"Ssumday",2.17,2.83,3.33,1.94,11600,13900,263.83
"Berserker",1.33,2,2.67,2,10300,10700,240.17
"Blaber",1,3.17,4.33,1.68,8300,6900,148.17
"Fudge",0.83,2.17,2.5,1.54,9000,9500,212.67
"Jensen",2.67,2.83,2.17,1.71,10000,16700,220.5
"Zven",0.83,4.5,3,0.85,6000,4000,25.5
"Gemini",1.33,4.5,4.5,1.3,8900,6900,143.17
"Koala",0.83,4.83,4.17,1.03,7400,5100,37.33
"Mission",1.5,3.33,3.67,1.55,13100,20100,300
"Rest",1.17,3,2.33,1.17,11200,13000,257.33
"Shunn",3.2,3.8,2.2,1.42,13200,13200,280.2
"Atlen",3,5,2,1,12800,5200,251
"BeryL",0.76,2.24,8,3.91,8600,10200,34.62
"Deft",3.14,1.76,4.62,4.41,15100,20000,326.57
"Kingen",2.71,2.19,5.05,3.54,12800,16300,253.95
"Zeka",4,1.57,4.1,5.15,14900,16600,322.62
"Pyosik",2.5,1.65,6.55,5.48,11500,10900,187.75
"Juhan",3,4,6,2.25,10700,12900,165
"Canyon",3.42,2.67,6.75,3.81,11300,13300,176.67
"deokdam",4.5,1.92,5.42,5.17,14100,18600,280.08
"Kellin",0.67,2.08,10.25,5.24,7600,5400,16.42
"Nuguri",2.5,2.92,4.25,2.31,12200,15700,247.5
"ShowMaker",3.42,1.5,5.75,6.11,12700,20000,260.25
"Flandre",2.09,1.82,4.18,3.45,12700,16600,272.45
"JieJie",1.73,2.64,7.82,3.62,11000,10900,183.27
"Meiko",0.91,2.64,8.64,3.62,7900,5400,26.27
"Scout",4.18,2.27,4.09,3.64,13600,23200,272.45
"Viper",4.18,1.82,5.27,5.2,14800,21400,321.91
"Impact",1.33,3.17,3.67,1.58,9500,12500,202.5
"Inspired",2.17,2.33,4,2.64,9800,9700,183.5
"jojopyun",1.33,3.83,2.67,1.04,10000,13000,221.67
"Kaori",3.83,3,2.17,2,12200,15700,256.67
"Vulcan",0.17,3.67,6.33,1.77,6200,4500,21.83
"Humanoid",3.17,2.67,2.83,2.25,12900,20900,297.67
"Hylissang",0.17,4.17,7.17,1.76,6800,4900,21.33
"Razork",1.5,2.67,5.17,2.5,9200,10000,155.17
"Upset",3.33,1.33,3,4.75,13100,15000,299.5
"Wunder",1.33,3,4.17,1.83,10100,11200,221
"BrokenBlade",2.67,2.83,2.5,1.82,10400,14200,216
"caPs",2.33,2.67,3.33,2.13,10900,12500,243.5
"Flakked",2.67,2.5,3.33,2.4,11800,12000,270
"Jankos",1.33,2.83,6.17,2.65,9700,9200,175.17
"Targamas",0.17,3.17,7,2.26,6500,4300,31.5
"Bie",1,3.17,5.33,2,7000,5000,32.67
"Kati",1.5,3.17,4.83,2,10800,13500,241.67
"Kiaya",1.67,3.67,3.67,1.45,10700,13100,235.5
"Levi",2.67,4.5,5.67,1.85,10900,16600,185.83
"Sty1e",2.17,3.33,3.83,1.8,12300,12800,285.5
"Chovy",3.94,1.38,3.63,5.5,13700,17500,304.06
"Doran",2,2.44,4.75,2.77,11600,13800,240.94
"Lehends",0.75,2.5,8.44,3.68,7300,6000,24.56
"Peanut",1.94,1.81,6.69,4.76,10400,9800,176.25
"Ruler",3.88,1.38,4.44,6.05,13800,20000,291
"369",3.29,3.36,6.36,2.87,12400,18300,239.43
"Hope",4.21,2.64,5.79,3.78,14000,18500,292.43
"Kanavi",4.57,2.71,5.86,3.84,12700,13300,211.29
"Missing",1.07,2.93,10.29,3.88,7700,7200,21.29
"Yagao",2.43,2.64,7.14,3.62,12300,16600,254.86
"Comp",4.3,1.8,2.6,3.83,14000,15100,301.8
"Larssen",3.2,1.2,4.2,6.17,13000,18900,279.8
"Malrang",1.5,3.1,6.6,2.61,9300,8200,144.8
"Odoamne",1.7,3.1,5,2.16,10700,14700,223.1
"Trymbi",0.3,3.1,7,2.35,7000,6400,20.7
"Breathe",3,2.7,3.2,2.3,13100,13000,277.3
"GALA",4.4,1.6,4.9,5.81,14300,19600,320.1
"Ming",0.9,2.7,8.3,3.41,7500,5300,26.2
"Wei",2.2,2.4,7.4,4,10400,9200,157.7
"Xiaohu",2.7,2.6,4.8,2.88,12500,15300,272.1
"Faker",3.39,3.11,5.33,2.8,12700,19800,251.94
"Gumayusi",5,1.44,5.94,7.58,15100,19700,308.33
"Keria",1.39,1.61,10.89,7.62,8500,8200,21.83
"Oner",2.78,2.39,8.06,4.53,11500,11500,182.83
"Zeus",3.61,3.17,6.61,3.23,13300,19500,244.94
"JackeyLove",5.33,2.33,5.17,4.5,15300,20700,295.33
"knight",4.33,1.17,5.5,8.43,13900,22400,283.5
"Mark",1.17,2,9.33,5.25,7700,5400,24
"Tian",1.83,2.33,7.33,3.93,10500,10900,174
"Wayward",1,4,4.5,1.38,11300,10600,254.33
